# sample: 7_ITO
# blocks: 30 (Section_Sweep triplets left-to-right)
A_s1,A_s1,A_s1,A_s2,A_s2,A_s2,A_s3,A_s3,A_s3,B_s1,B_s1,B_s1,B_s2,B_s2,B_s2,B_s3,B_s3,B_s3,D_s1,D_s1,D_s1,D_s2,D_s2,D_s2,D_s3,D_s3,D_s3,E_s1,E_s1,E_s1,E_s2,E_s2,E_s2,E_s3,E_s3,E_s3,F_s1,F_s1,F_s1,F_s2,F_s2,F_s2,F_s3,F_s3,F_s3,G_s1,G_s1,G_s1,G_s2,G_s2,G_s2,G_s3,G_s3,G_s3,H_s1,H_s1,H_s1,H_s2,H_s2,H_s2,H_s3,H_s3,H_s3,I_s1,I_s1,I_s1,I_s2,I_s2,I_s2,I_s3,I_s3,I_s3,K_s1,K_s1,K_s1,K_s2,K_s2,K_s2,K_s3,K_s3,K_s3,L_s1,L_s1,L_s1,L_s2,L_s2,L_s2,L_s3,L_s3,L_s3
0.3,5.24e-07,1758000000,0.8,2.314e-06,1758000000,1.6,0.0001447,1758000000,0.3,1.375e-05,1758000000,0.8,3.664e-05,1758000000,1.6,7.341e-05,1758000000,0.3,5.539e-05,1758000000,0.8,0.0001477,1758000000,1.6,0.0002953,1758000000,0.3,1.641e-05,1758000000,0.8,4.374e-05,1758000000,1.6,8.747e-05,1758000000,0.3,1.985e-05,1758000000,0.8,5.292e-05,1758000000,1.6,0.0001053,1758000000,0.3,4.186e-05,1758000000,0.8,0.0001125,1758000000,1.6,0.0002418,1758000000,0.3,5.372e-05,1758000000,0.8,0.0001479,1758000000,1.6,0.0002754,1758000000,0.3,2.399e-05,1758000000,0.8,6.383e-05,1758000000,1.6,0.0001276,1758000000,0.3,6.518e-05,1758000000,0.8,0.0001737,1758000000,1.6,0.0003475,1758000000,0.3,2.338e-05,1758000000,0.8,6.231e-05,1758000000,1.6,0.0001247,1758000000
0.2,3.056e-07,1758000000,0.9,2.738e-06,1758000000,1.8,0.0001616,1758000000,0.2,9.169e-06,1758000000,0.9,4.125e-05,1758000000,1.8,8.258e-05,1758000000,0.2,3.693e-05,1758000000,0.9,0.0001661,1758000000,1.8,0.0003323,1758000000,0.2,1.094e-05,1758000000,0.9,4.921e-05,1758000000,1.8,9.84e-05,1758000000,0.2,1.327e-05,1758000000,0.9,5.95e-05,1758000000,1.8,0.0001184,1758000000,0.2,2.78e-05,1758000000,0.9,0.0001268,1758000000,1.8,0.0002722,1758000000,0.2,3.58e-05,1758000000,0.9,0.0001649,1758000000,1.8,0.000309,1758000000,0.2,1.598e-05,1758000000,0.9,7.177e-05,1758000000,1.8,0.0001436,1758000000,0.2,4.346e-05,1758000000,0.9,0.0001954,1758000000,1.8,0.0003909,1758000000,0.2,1.559e-05,1758000000,0.9,7.011e-05,1758000000,1.8,0.0001403,1758000000
0.1,1.605e-07,1758000000,1,3.09e-06,1758000000,2,0.0001814,1758000000,0.1,4.588e-06,1758000000,1,4.577e-05,1758000000,2,9.177e-05,1758000000,0.1,1.848e-05,1758000000,1,0.0001846,1758000000,2,0.0003691,1758000000,0.1,5.478e-06,1758000000,1,5.467e-05,1758000000,2,0.0001093,1758000000,0.1,6.64e-06,1758000000,1,6.609e-05,1758000000,2,0.0001315,1758000000,0.1,1.389e-05,1758000000,1,0.0001425,1758000000,2,0.000302,1758000000,0.1,1.79e-05,1758000000,1,0.0001821,1758000000,2,0.0003404,1758000000,0.1,8.005e-06,1758000000,1,7.97e-05,1758000000,2,0.0001594,1758000000,0.1,2.175e-05,1758000000,1,0.0002171,1758000000,2,0.0004343,1758000000,0.1,7.805e-06,1758000000,1,7.789e-05,1758000000,2,0.0001558,1758000000
0,2.855e-10,1758000000,1.1,3.296e-06,1758000000,2.2,0.0001877,1758000000,0,8.004e-09,1758000000,1.1,5.039e-05,1758000000,2.2,0.000101,1758000000,0,3.111e-08,1758000000,1.1,0.000203,1758000000,2.2,0.0004064,1758000000,0,9.378e-09,1758000000,1.1,6.014e-05,1758000000,2.2,0.0001203,1758000000,0,1.007e-08,1758000000,1.1,7.268e-05,1758000000,2.2,0.0001446,1758000000,0,2.461e-08,1758000000,1.1,0.0001562,1758000000,2.2,0.0003317,1758000000,0,2.998e-08,1758000000,1.1,0.0002005,1758000000,2.2,0.0003725,1758000000,0,1.331e-08,1758000000,1.1,8.768e-05,1758000000,2.2,0.0001755,1758000000,0,3.658e-08,1758000000,1.1,0.0002387,1758000000,2.2,0.000478,1758000000,0,1.332e-08,1758000000,1.1,8.568e-05,1758000000,2.2,0.0001715,1758000000
-0.1,-2.092e-07,1758000000,1.2,4.216e-06,1758000000,2.4,0.0001663,1758000000,-0.1,-4.579e-06,1758000000,1.2,5.498e-05,1758000000,2.4,0.0001101,1758000000,-0.1,-1.844e-05,1758000000,1.2,0.0002215,1758000000,2.4,0.0004433,1758000000,-0.1,-5.467e-06,1758000000,1.2,6.559e-05,1758000000,2.4,0.0001313,1758000000,-0.1,-6.633e-06,1758000000,1.2,7.925e-05,1758000000,2.4,0.0001575,1758000000,-0.1,-1.376e-05,1758000000,1.2,0.0001697,1758000000,2.4,0.0003622,1758000000,-0.1,-1.795e-05,1758000000,1.2,0.0002203,1758000000,2.4,0.0004089,1758000000,-0.1,-7.993e-06,1758000000,1.2,9.561e-05,1758000000,2.4,0.0001915,1758000000,-0.1,-2.171e-05,1758000000,1.2,0.0002604,1758000000,2.4,0.0005214,1758000000,-0.1,-7.787e-06,1758000000,1.2,9.346e-05,1758000000,2.4,0.0001871,1758000000
-0.2,-6.181e-07,1758000000,1.3,4.295e-06,1758000000,2.6,0.0001561,1758000000,-0.2,-9.162e-06,1758000000,1.3,5.954e-05,1758000000,2.6,0.0001193,1758000000,-0.2,-3.689e-05,1758000000,1.3,0.0002399,1758000000,2.6,0.0004802,1758000000,-0.2,-1.093e-05,1758000000,1.3,7.107e-05,1758000000,2.6,0.0001422,1758000000,-0.2,-1.325e-05,1758000000,1.3,8.568e-05,1758000000,2.6,0.0001704,1758000000,-0.2,-2.757e-05,1758000000,1.3,0.0001841,1758000000,2.6,0.0003938,1758000000,-0.2,-3.595e-05,1758000000,1.3,0.0002387,1758000000,2.6,0.0004416,1758000000,-0.2,-1.599e-05,1758000000,1.3,0.0001035,1758000000,2.6,0.0002075,1758000000,-0.2,-4.342e-05,1758000000,1.3,0.0002821,1758000000,2.6,0.0005649,1758000000,-0.2,-1.557e-05,1758000000,1.3,0.0001013,1758000000,2.6,0.0002027,1758000000
-0.3,-1.106e-06,1758000000,1.4,4.587e-06,1758000000,2.8,0.00015,1758000000,-0.3,-1.374e-05,1758000000,1.4,6.41e-05,1758000000,2.8,0.0001284,1758000000,-0.3,-5.535e-05,1758000000,1.4,0.0002584,1758000000,2.8,0.0005171,1758000000,-0.3,-1.64e-05,1758000000,1.4,7.652e-05,1758000000,2.8,0.0001531,1758000000,-0.3,-1.988e-05,1758000000,1.4,9.223e-05,1758000000,2.8,0.0001832,1758000000,-0.3,-4.139e-05,1758000000,1.4,0.0001971,1758000000,2.8,0.0004248,1758000000,-0.3,-5.417e-05,1758000000,1.4,0.0002561,1758000000,2.8,0.0004719,1758000000,-0.3,-2.401e-05,1758000000,1.4,0.0001115,1758000000,2.8,0.0002235,1758000000,-0.3,-6.514e-05,1758000000,1.4,0.0003038,1758000000,2.8,0.0006082,1758000000,-0.3,-2.336e-05,1758000000,1.4,0.000109,1758000000,2.8,0.0002183,1758000000
-0.4,-2.253e-06,1758000000,1.5,5.256e-06,1758000000,3,0.0001486,1758000000,-0.4,-1.832e-05,1758000000,1.5,6.872e-05,1758000000,3,0.0001376,1758000000,-0.4,-7.381e-05,1758000000,1.5,0.0002768,1758000000,3,0.0005539,1758000000,-0.4,-2.187e-05,1758000000,1.5,8.199e-05,1758000000,3,0.000164,1758000000,-0.4,-2.65e-05,1758000000,1.5,9.874e-05,1758000000,3,0.000196,1758000000,-0.4,-5.53e-05,1758000000,1.5,0.0002132,1758000000,3,0.0004561,1758000000,-0.4,-7.23e-05,1758000000,1.5,0.0002724,1758000000,3,0.0004998,1758000000,-0.4,-3.205e-05,1758000000,1.5,0.0001195,1758000000,3,0.0002392,1758000000,-0.4,-8.686e-05,1758000000,1.5,0.0003254,1758000000,3,0.0006515,1758000000,-0.4,-3.115e-05,1758000000,1.5,0.0001168,1758000000,3,0.0002338,1758000000
-0.5,-3.378e-06,1758000000,1.6,5.997e-06,1758000000,3.2,0.000142,1758000000,-0.5,-2.292e-05,1758000000,1.6,7.326e-05,1758000000,3.2,0.0001467,1758000000,-0.5,-9.226e-05,1758000000,1.6,0.0002953,1758000000,3.2,0.0005908,1758000000,-0.5,-2.734e-05,1758000000,1.6,8.746e-05,1758000000,3.2,0.000175,1758000000,-0.5,-3.316e-05,1758000000,1.6,0.0001052,1758000000,3.2,0.0002089,1758000000,-0.5,-6.964e-05,1758000000,1.6,0.0002268,1758000000,3.2,0.0004886,1758000000,-0.5,-9.019e-05,1758000000,1.6,0.00029,1758000000,3.2,0.000528,1758000000,-0.5,-4.002e-05,1758000000,1.6,0.0001273,1758000000,3.2,0.000255,1758000000,-0.5,-0.0001086,1758000000,1.6,0.0003472,1758000000,3.2,0.0006949,1758000000,-0.5,-3.893e-05,1758000000,1.6,0.0001246,1758000000,3.2,0.0002494,1758000000
-0.5,-4.167e-06,1758000000,1.7,6.843e-06,1758000000,3.4,0.0001415,1758000000,-0.5,-2.292e-05,1758000000,1.7,7.785e-05,1758000000,3.4,0.0001558,1758000000,-0.5,-9.226e-05,1758000000,1.7,0.0003137,1758000000,3.4,0.0006277,1758000000,-0.5,-2.734e-05,1758000000,1.7,9.292e-05,1758000000,3.4,0.0001859,1758000000,-0.5,-3.314e-05,1758000000,1.7,0.0001117,1758000000,3.4,0.0002216,1758000000,-0.5,-6.95e-05,1758000000,1.7,0.0002416,1758000000,3.4,0.0005614,1758000000,-0.5,-9.018e-05,1758000000,1.7,0.0003106,1758000000,3.4,0.0005603,1758000000,-0.5,-4.006e-05,1758000000,1.7,0.0001353,1758000000,3.4,0.0002712,1758000000,-0.5,-0.0001086,1758000000,1.7,0.0003689,1758000000,3.4,0.0007383,1758000000,-0.5,-3.893e-05,1758000000,1.7,0.0001324,1758000000,3.4,0.000265,1758000000
-0.4,-3.084e-06,1758000000,1.8,7.536e-06,1758000000,3.6,0.0001186,1758000000,-0.4,-1.834e-05,1758000000,1.8,8.242e-05,1758000000,3.6,0.0001649,1758000000,-0.4,-7.381e-05,1758000000,1.8,0.0003322,1758000000,3.6,0.0006646,1758000000,-0.4,-2.187e-05,1758000000,1.8,9.838e-05,1758000000,3.6,0.0001968,1758000000,-0.4,-2.652e-05,1758000000,1.8,0.0001182,1758000000,3.6,0.0002344,1758000000,-0.4,-5.528e-05,1758000000,1.8,0.0002576,1758000000,3.6,0.0006009,1758000000,-0.4,-7.217e-05,1758000000,1.8,0.0003278,1758000000,3.6,0.0005927,1758000000,-0.4,-3.204e-05,1758000000,1.8,0.0001432,1758000000,3.6,0.0002869,1758000000,-0.4,-8.689e-05,1758000000,1.8,0.0003906,1758000000,3.6,0.0007814,1758000000,-0.4,-3.114e-05,1758000000,1.8,0.0001402,1758000000,3.6,0.0002805,1758000000
-0.3,-1.603e-06,1758000000,1.9,8.724e-06,1758000000,3.8,0.0001207,1758000000,-0.3,-1.376e-05,1758000000,1.9,8.699e-05,1758000000,3.8,0.000174,1758000000,-0.3,-5.535e-05,1758000000,1.9,0.0003506,1758000000,3.8,0.0007014,1758000000,-0.3,-1.64e-05,1758000000,1.9,0.0001039,1758000000,3.8,0.0002077,1758000000,-0.3,-1.991e-05,1758000000,1.9,0.0001246,1758000000,3.8,0.0002472,1758000000,-0.3,-4.187e-05,1758000000,1.9,0.0002711,1758000000,3.8,0.0006383,1758000000,-0.3,-5.391e-05,1758000000,1.9,0.0003376,1758000000,3.8,0.0006207,1758000000,-0.3,-2.402e-05,1758000000,1.9,0.0001512,1758000000,3.8,0.0003026,1758000000,-0.3,-6.516e-05,1758000000,1.9,0.0004122,1758000000,3.8,0.0008249,1758000000,-0.3,-2.336e-05,1758000000,1.9,0.000148,1758000000,3.8,0.0002961,1758000000
-0.2,-8.081e-07,1758000000,2,9.609e-06,1758000000,4,0.0001432,1758000000,-0.2,-9.173e-06,1758000000,2,9.151e-05,1758000000,4,0.0001831,1758000000,-0.2,-3.69e-05,1758000000,2,0.000369,1758000000,4,0.0007383,1758000000,-0.2,-1.093e-05,1758000000,2,0.0001093,1758000000,4,0.0002187,1758000000,-0.2,-1.326e-05,1758000000,2,0.0001312,1758000000,4,0.0002601,1758000000,-0.2,-2.784e-05,1758000000,2,0.0002871,1758000000,4,0.0006758,1758000000,-0.2,-3.572e-05,1758000000,2,0.0003588,1758000000,4,0.0006599,1758000000,-0.2,-1.601e-05,1758000000,2,0.0001592,1758000000,4,0.0003186,1758000000,-0.2,-4.343e-05,1758000000,2,0.0004338,1758000000,4,0.000868,1758000000,-0.2,-1.557e-05,1758000000,2,0.0001558,1758000000,4,0.0003117,1758000000
-0.1,-3.259e-07,1758000000,2.1,1.05e-05,1758000000,4.2,0.0001387,1758000000,-0.1,-4.586e-06,1758000000,2.1,9.617e-05,1758000000,4.2,0.0001922,1758000000,-0.1,-1.844e-05,1758000000,2.1,0.0003878,1758000000,4.2,0.0007752,1758000000,-0.1,-5.466e-06,1758000000,2.1,0.0001149,1758000000,4.2,0.0002296,1758000000,-0.1,-6.633e-06,1758000000,2.1,0.0001375,1758000000,4.2,0.0002722,1758000000,-0.1,-1.398e-05,1758000000,2.1,0.0002994,1758000000,4.2,0.0007086,1758000000,-0.1,-1.777e-05,1758000000,2.1,0.0003786,1758000000,4.2,0.0007002,1758000000,-0.1,-8.004e-06,1758000000,2.1,0.0001672,1758000000,4.2,0.0003344,1758000000,-0.1,-2.171e-05,1758000000,2.1,0.0004558,1758000000,4.2,0.0009113,1758000000,-0.1,-7.785e-06,1758000000,2.1,0.0001637,1758000000,4.2,0.0003273,1758000000
-0,0,1758000000,2.2,1.163e-05,1758000000,4.4,0.0004785,1758000000,-0,2.774e-09,1758000000,2.2,0.0001008,1758000000,4.4,0.0002012,1758000000,-0,1.242e-08,1758000000,2.2,0.0004062,1758000000,4.4,0.000812,1758000000,-0,3.777e-09,1758000000,2.2,0.0001203,1758000000,4.4,0.0002405,1758000000,-0,3.606e-09,1758000000,2.2,0.0001442,1758000000,4.4,0.0002848,1758000000,-0,1.02e-08,1758000000,2.2,0.0003155,1758000000,4.4,0.0007273,1758000000,-0,1.155e-08,1758000000,2.2,0.0003917,1758000000,4.4,0.0007457,1758000000,-0,5.179e-09,1758000000,2.2,0.0001751,1758000000,4.4,0.0003504,1758000000,-0,1.477e-08,1758000000,2.2,0.0004775,1758000000,4.4,0.0009544,1758000000,-0,5.301e-09,1758000000,2.2,0.0001715,1758000000,4.4,0.0003429,1758000000
