Profile 1             Profile 2             Profile 3             
x       y           x       y           x       y           
2.550623e-07  3.4765574e-09            2.5159237e-07  3.3459599e-09            2.4523483e-07  3.1903695e-09            
2.6487239e-07  3.5517017e-09            2.61269e-07  3.273379e-09            2.5466693e-07  3.1419637e-09            
2.7468248e-07  3.4314142e-09            2.7094563e-07  3.3508265e-09            -          -              
2.8449257e-07  3.3368794e-09            2.8062226e-07  3.1299559e-09            -          -              
2.9430266e-07  3.4440701e-09            2.9029889e-07  2.338949e-09            -          -              
3.0411275e-07  3.5716867e-09            2.9997552e-07  1.0834776e-09            -          -              
3.1392283e-07  3.5231855e-09            3.0965215e-07  1.124336e-09            -          -              
3.2373292e-07  3.5167024e-09            3.1932878e-07  2.2301778e-09            -          -              
3.3354301e-07  3.5807456e-09            3.2900541e-07  3.3333407e-09            -          -              
3.433531e-07  3.6040143e-09            3.3868204e-07  3.0044395e-09            -          -              
3.5316319e-07  3.5087531e-09            3.4835867e-07  2.7864849e-09            -          -              
3.6297328e-07  3.242985e-09            3.580353e-07  3.0472667e-09            -          -              
3.7278336e-07  3.2360836e-09            3.6771193e-07  3.0478985e-09            -          -              
3.8259345e-07  3.2754987e-09            3.7738856e-07  3.1294796e-09            -          -              
3.9240354e-07  3.242024e-09            3.8706519e-07  3.20049e-09            -          -              
4.0221363e-07  3.1986227e-09            3.9674182e-07  3.2434551e-09            -          -              
4.1202372e-07  3.2220844e-09            4.0641845e-07  3.1662779e-09            -          -              
4.2183381e-07  3.2033767e-09            4.1609508e-07  3.2105433e-09            -          -              
4.316439e-07  2.9981198e-09            4.2577171e-07  3.1755168e-09            -          -              
4.4145398e-07  2.9464081e-09            4.3544834e-07  3.0522815e-09            -          -              
4.5126407e-07  2.9979545e-09            4.4512497e-07  2.9682535e-09            -          -              
4.6107416e-07  2.8998595e-09            4.548016e-07  2.9062256e-09            -          -              
4.7088425e-07  2.6810436e-09            4.6447822e-07  3.0428054e-09            -          -              
4.8069434e-07  2.4588264e-09            4.7415485e-07  3.2727628e-09            -          -              
4.9050443e-07  2.3734407e-09            4.8383148e-07  3.3075073e-09            -          -              
5.0031452e-07  2.5786442e-09            4.9350811e-07  3.3140222e-09            -          -              
5.101246e-07  2.6721964e-09            5.0318474e-07  3.3596934e-09            -          -              
5.1993469e-07  2.715156e-09            -          -              -          -              
5.2974478e-07  2.7727043e-09            -          -              -          -              
5.3955487e-07  2.7465168e-09            -          -              -          -              
5.4936496e-07  2.7385396e-09            -          -              -          -              
5.5917505e-07  2.8512777e-09            -          -              -          -              
5.6898514e-07  2.7976835e-09            -          -              -          -              
5.7879522e-07  2.7891771e-09            -          -              -          -              
5.8860531e-07  2.7170167e-09            -          -              -          -              
5.984154e-07  2.7133333e-09            -          -              -          -              
6.0822549e-07  2.8223898e-09            -          -              -          -              
6.1803558e-07  3.0199097e-09            -          -              -          -              
6.2784567e-07  2.9224012e-09            -          -              -          -              
6.3765576e-07  2.7352293e-09            -          -              -          -              
6.4746584e-07  2.6136275e-09            -          -              -          -              
6.5727593e-07  2.8578079e-09            -          -              -          -              
6.6708602e-07  2.909781e-09            -          -              -          -              
6.7689611e-07  3.0012164e-09            -          -              -          -              
6.867062e-07  3.2322027e-09            -          -              -          -              
6.9651629e-07  3.4938083e-09            -          -              -          -              
7.0632638e-07  3.3223035e-09            -          -              -          -              
7.1613646e-07  3.2197253e-09            -          -              -          -              
7.2594655e-07  3.3271537e-09            -          -              -          -              
7.3575664e-07  3.2805204e-09            -          -              -          -              
7.4556673e-07  3.0508048e-09            -          -              -          -              
7.5537682e-07  2.9055305e-09            -          -              -          -              
7.6518691e-07  2.8437373e-09            -          -              -          -              
7.74997e-07  3.0277254e-09            -          -              -          -              
7.8480708e-07  3.2045198e-09            -          -              -          -              
7.9461717e-07  3.3006994e-09            -          -              -          -              
8.0442726e-07  3.0317487e-09            -          -              -          -              
8.1423735e-07  2.8845466e-09            -          -              -          -              
8.2404744e-07  3.0254325e-09            -          -              -          -              
8.3385753e-07  2.9885385e-09            -          -              -          -              
8.4366762e-07  3.137336e-09            -          -              -          -              
8.534777e-07  3.3861447e-09            -          -              -          -              
8.6328779e-07  3.3685803e-09            -          -              -          -              
8.7309788e-07  3.4552795e-09            -          -              -          -              
8.8290797e-07  3.6446725e-09            -          -              -          -              
8.9271806e-07  3.7247946e-09            -          -              -          -              
9.0252815e-07  3.5194779e-09            -          -              -          -              
9.1233824e-07  3.411723e-09            -          -              -          -              
9.2214832e-07  3.2957756e-09            -          -              -          -              
9.3195841e-07  3.278249e-09            -          -              -          -              
9.417685e-07  3.2111287e-09            -          -              -          -              
9.5157859e-07  3.1301063e-09            -          -              -          -              
9.6138868e-07  3.1038323e-09            -          -              -          -              
9.7119877e-07  3.172836e-09            -          -              -          -              
9.8100885e-07  3.1461675e-09            -          -              -          -              
9.9081894e-07  3.0572988e-09            -          -              -          -              
1.000629e-06  3.2863287e-09            -          -              -          -              
1.0104391e-06  3.2692591e-09            -          -              -          -              
1.0202492e-06  3.0439372e-09            -          -              -          -              
1.0300593e-06  2.9875283e-09            -          -              -          -              
1.0398694e-06  3.0625754e-09            -          -              -          -              
1.0496795e-06  3.0129084e-09            -          -              -          -              
1.0594896e-06  2.8519232e-09            -          -              -          -              
1.0692997e-06  2.8259199e-09            -          -              -          -              
1.0791097e-06  2.7916307e-09            -          -              -          -              
1.0889198e-06  2.6465154e-09            -          -              -          -              
1.0987299e-06  2.6314876e-09            -          -              -          -              
1.10854e-06  2.7296415e-09            -          -              -          -              
1.1183501e-06  2.7164509e-09            -          -              -          -              
1.1281602e-06  2.7228919e-09            -          -              -          -              
1.1379703e-06  2.9204833e-09            -          -              -          -              
1.1477804e-06  3.159266e-09            -          -              -          -              
1.1575904e-06  3.1995124e-09            -          -              -          -              
1.1674005e-06  3.1200946e-09            -          -              -          -              
1.1772106e-06  3.1010944e-09            -          -              -          -              
1.1870207e-06  2.9173965e-09            -          -              -          -              
1.1968308e-06  2.7736124e-09            -          -              -          -              
1.2066409e-06  2.917866e-09            -          -              -          -              
1.216451e-06  2.9359909e-09            -          -              -          -              
1.2262611e-06  2.8147326e-09            -          -              -          -              
1.2360712e-06  2.7761421e-09            -          -              -          -              
1.2458812e-06  2.7172313e-09            -          -              -          -              
1.2556913e-06  2.7298796e-09            -          -              -          -              
1.2655014e-06  2.9480447e-09            -          -              -          -              
1.2753115e-06  2.8746333e-09            -          -              -          -              
1.2851216e-06  3.0233049e-09            -          -              -          -              
1.2949317e-06  3.0372349e-09            -          -              -          -              
1.3047418e-06  3.0389048e-09            -          -              -          -              
1.3145519e-06  2.9929323e-09            -          -              -          -              
1.324362e-06  2.8993815e-09            -          -              -          -              
1.334172e-06  2.8610932e-09            -          -              -          -              
1.3439821e-06  2.9269315e-09            -          -              -          -              
1.3537922e-06  2.9766125e-09            -          -              -          -              
1.3636023e-06  3.0192903e-09            -          -              -          -              
1.3734124e-06  2.9714789e-09            -          -              -          -              
1.3832225e-06  2.9187992e-09            -          -              -          -              
1.3930326e-06  2.926807e-09            -          -              -          -              
1.4028427e-06  3.0112621e-09            -          -              -          -              
1.4126528e-06  3.1003318e-09            -          -              -          -              
1.4224628e-06  3.0493239e-09            -          -              -          -              
1.4322729e-06  3.1000057e-09            -          -              -          -              
1.442083e-06  3.0127631e-09            -          -              -          -              
1.4518931e-06  2.830104e-09            -          -              -          -              
1.4617032e-06  2.667518e-09            -          -              -          -              
1.4715133e-06  2.5682588e-09            -          -              -          -              
1.4813234e-06  2.478369e-09            -          -              -          -              
1.4911335e-06  2.3632651e-09            -          -              -          -              
1.5009435e-06  2.2035303e-09            -          -              -          -              
1.5107536e-06  2.3734074e-09            -          -              -          -              
1.5205637e-06  2.6012501e-09            -          -              -          -              
1.5303738e-06  2.8147016e-09            -          -              -          -              
1.5401839e-06  2.7114363e-09            -          -              -          -              
1.549994e-06  2.7629764e-09            -          -              -          -              
1.5598041e-06  2.8303081e-09            -          -              -          -              
1.5696142e-06  2.6751513e-09            -          -              -          -              
1.5794243e-06  2.5887411e-09            -          -              -          -              
1.5892343e-06  2.7639747e-09            -          -              -          -              
1.5990444e-06  2.8689024e-09            -          -              -          -              
1.6088545e-06  2.914989e-09            -          -              -          -              
1.6186646e-06  2.7522496e-09            -          -              -          -              
1.6284747e-06  2.5719643e-09            -          -              -          -              
1.6382848e-06  2.6268166e-09            -          -              -          -              
1.6480949e-06  2.549654e-09            -          -              -          -              
1.657905e-06  2.6711305e-09            -          -              -          -              
1.6677151e-06  2.8159755e-09            -          -              -          -              
1.6775251e-06  2.917761e-09            -          -              -          -              
1.6873352e-06  2.9238831e-09            -          -              -          -              
1.6971453e-06  2.977452e-09            -          -              -          -              
1.7069554e-06  3.152618e-09            -          -              -          -              
1.7167655e-06  3.122832e-09            -          -              -          -              
1.7265756e-06  3.1124411e-09            -          -              -          -              
1.7363857e-06  3.1072656e-09            -          -              -          -              
1.7461958e-06  3.2642882e-09            -          -              -          -              
1.7560059e-06  3.5088642e-09            -          -              -          -              
1.7658159e-06  3.6489228e-09            -          -              -          -              
1.775626e-06  3.6786268e-09            -          -              -          -              
1.7854361e-06  3.3424686e-09            -          -              -          -              
1.7952462e-06  3.2725319e-09            -          -              -          -              
1.8050563e-06  3.3248941e-09            -          -              -          -              
1.8148664e-06  3.263025e-09            -          -              -          -              
1.8246765e-06  3.2345783e-09            -          -              -          -              
1.8344866e-06  3.0524352e-09            -          -              -          -              
1.8442966e-06  3.0681529e-09            -          -              -          -              
1.8541067e-06  2.9975148e-09            -          -              -          -              
1.8639168e-06  3.1777904e-09            -          -              -          -              
1.8737269e-06  3.3254865e-09            -          -              -          -              
1.883537e-06  3.398614e-09            -          -              -          -              
1.8933471e-06  3.5782252e-09            -          -              -          -              
1.9031572e-06  3.7658013e-09            -          -              -          -              
1.9129673e-06  3.7242972e-09            -          -              -          -              
1.9227774e-06  3.7995562e-09            -          -              -          -              
1.9325874e-06  3.6975053e-09            -          -              -          -              
1.9423975e-06  3.6022956e-09            -          -              -          -              
1.9522076e-06  3.4034564e-09            -          -              -          -              
1.9620177e-06  3.3697906e-09            -          -              -          -              
1.9718278e-06  3.2495694e-09            -          -              -          -              
1.9816379e-06  3.254398e-09            -          -              -          -              
1.991448e-06  3.0775398e-09            -          -              -          -              
2.0012581e-06  3.1605649e-09            -          -              -          -              
2.0110682e-06  2.6145993e-09            -          -              -          -              
2.0208782e-06  1.2976757e-09            -          -              -          -              
2.0306883e-06  1.3446437e-09            -          -              -          -              
2.0404984e-06  2.3599713e-09            -          -              -          -              
2.0503085e-06  2.7361271e-09            -          -              -          -              
2.0601186e-06  2.7396113e-09            -          -              -          -              
2.0699287e-06  2.8097388e-09            -          -              -          -              
2.0797388e-06  2.7067148e-09            -          -              -          -              
2.0895489e-06  2.7320544e-09            -          -              -          -              
2.0993589e-06  2.8024781e-09            -          -              -          -              
2.109169e-06  2.9370005e-09            -          -              -          -              
2.1189791e-06  3.0735651e-09            -          -              -          -              
2.1287892e-06  2.8784136e-09            -          -              -          -              
2.1385993e-06  2.6305001e-09            -          -              -          -              
2.1484094e-06  2.5758324e-09            -          -              -          -              
2.1582195e-06  2.6379061e-09            -          -              -          -              
2.1680296e-06  2.7100649e-09            -          -              -          -              
2.1778397e-06  2.5558597e-09            -          -              -          -              
2.1876497e-06  2.5198362e-09            -          -              -          -              
2.1974598e-06  2.5903625e-09            -          -              -          -              
2.2072699e-06  2.5156681e-09            -          -              -          -              
2.21708e-06  2.4223015e-09            -          -              -          -              
2.2268901e-06  2.152568e-09            -          -              -          -              
2.2367002e-06  2.2575908e-09            -          -              -          -              
2.2465103e-06  2.432908e-09            -          -              -          -              
2.2563204e-06  2.7173142e-09            -          -              -          -              
2.2661305e-06  2.8891667e-09            -          -              -          -              
2.2759405e-06  2.74117e-09            -          -              -          -              
2.2857506e-06  2.9014338e-09            -          -              -          -              
2.2955607e-06  2.84717e-09            -          -              -          -              
2.3053708e-06  2.874647e-09            -          -              -          -              
2.3151809e-06  2.8085445e-09            -          -              -          -              
2.324991e-06  2.8942459e-09            -          -              -          -              
2.3348011e-06  2.8568068e-09            -          -              -          -              
2.3446112e-06  2.6090272e-09            -          -              -          -              
2.3544213e-06  2.6793359e-09            -          -              -          -              
2.3642313e-06  2.7650631e-09            -          -              -          -              
2.3740414e-06  2.8290093e-09            -          -              -          -              
2.3838515e-06  2.8734541e-09            -          -              -          -              
2.3936616e-06  2.8440825e-09            -          -              -          -              
2.4034717e-06  2.8809701e-09            -          -              -          -              
2.4132818e-06  2.8702203e-09            -          -              -          -              
2.4230919e-06  2.7256423e-09            -          -              -          -              
2.432902e-06  2.6346651e-09            -          -              -          -              
2.442712e-06  2.7065362e-09            -          -              -          -              
2.4525221e-06  2.7836225e-09            -          -              -          -              
2.4623322e-06  2.7459619e-09            -          -              -          -              
2.4721423e-06  2.7232239e-09            -          -              -          -              
2.4819524e-06  2.5558377e-09            -          -              -          -              
2.4917625e-06  2.7394565e-09            -          -              -          -              
2.5015726e-06  2.8709756e-09            -          -              -          -              
2.5113827e-06  2.8175932e-09            -          -              -          -              
2.5211928e-06  2.6663025e-09            -          -              -          -              
